combination_id	final_score	composite_score	n_basins	avg_cycle_length	basin_entropy	final_state_concordance	fixed_point_ratio	total_literals	total_nots	avg_k	std_k	k_distance_from_2	G1_position	G1_rule	G10_position	G10_rule	G2_position	G2_rule	G3_position	G3_rule	G4_position	G4_rule	G5_position	G5_rule	G6_position	G6_rule	G7_position	G7_rule	G8_position	G8_rule	G9_position	G9_rule	composite_score_old
3_1_3_3_4_2_1_1_1_3	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	53	G10 & (G7 | ~G1)	6	G9 | (G4 & ~G6)	204	G3 | G6 | G8	25	~G7 | (~G1 & ~G3)	204	G1 & G10 & G4	139	G6 | (G1 & G5)	210	~G7 & ~G8 & ~G9	30	G2 & G3 & ~G5	24	G5 & (~G1 | ~G10)	40	~G5 | (G4 & G7)	1.9
0_4_1_3_0_4_0_1_2_4	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	56	G5 | (G7 & G8)	87	G6 | G7 | ~G1	202	G2 | G4 | ~G1	25	~G7 | (~G1 & ~G3)	209	G7 & (G10 | G6)	130	~G3 & (G2 | G4)	209	G7 & G8 & ~G3	30	G2 & G3 & ~G5	32	G5 & (~G1 | ~G2)	41	G6 | ~G2 | ~G5	1.9
2_4_4_1_3_2_3_1_2_2	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	54	G5 & G9 & ~G4	87	G6 | G7 | ~G1	205	~G4 | (~G2 & ~G5)	27	~G7 | (~G3 & ~G9)	203	G3 & G6 & G9	139	G6 | (G1 & G5)	212	G3 & G5 & G7	30	G2 & G3 & ~G5	32	G5 & (~G1 | ~G2)	39	G7 | G8 | ~G5	1.9
0_3_0_3_2_0_1_1_4_2	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	56	G5 | (G7 & G8)	86	G9 | (G1 & G5)	201	G3 | (G6 & ~G1)	25	~G7 | (~G1 & ~G3)	202	G10 & G9 & ~G2	137	G4 & (G5 | ~G2)	210	~G7 & ~G8 & ~G9	30	G2 & G3 & ~G5	18	G5 | (G1 & ~G8)	39	G7 | G8 | ~G5	1.9
2_0_3_4_4_4_4_4_4_4	0.5595983429165363	2.6685714285714286	7	1.5714285714285714	1.8360647589995582	0.8	0.7142857142857143	29	7	2.9	0.3	0.8999999999999999	54	G5 & G9 & ~G4	7	G4 | G9	204	G3 | G6 | G8	72	G10 | G8 | ~G9	204	G1 & G10 & G4	130	~G3 & (G2 | G4)	201	G2 & G6 & G8	33	G2 & (G7 | ~G5)	18	G5 | (G1 & ~G8)	41	G6 | ~G2 | ~G5	2.6685714285714286
0_1_1_3_4_2_1_0_1_2	0.5598740889082523	1.5066666666666664	3	1.3333333333333333	1.275853958497804	0.3	0.6666666666666666	30	12	3.0	0.0	1.0	56	G5 | (G7 & G8)	6	G9 | (G4 & ~G6)	202	G2 | G4 | ~G1	25	~G7 | (~G1 & ~G3)	204	G1 & G10 & G4	139	G6 | (G1 & G5)	210	~G7 & ~G8 & ~G9	29	~G5 & (G2 | G3)	24	G5 & (~G1 | ~G10)	39	G7 | G8 | ~G5	1.5066666666666664
1_1_2_0_4_3_4_3_0_1	0.5599231224926274	2.05	2	3.5	0.9446648009229414	0.0	0.0	29	14	2.9	0.3	0.8999999999999999	55	G5 & (~G3 | ~G4)	6	G9 | (G4 & ~G6)	203	G9 | (G8 & ~G6)	28	~G3 | ~G7	204	G1 & G10 & G4	129	~G3 | (~G2 & ~G4)	201	G2 & G6 & G8	32	G2 & (G1 | G7)	16	G5 & (~G6 | ~G8)	38	~G10 | ~G5 | ~G9	2.05
2_4_2_1_0_3_3_2_2_0	0.5600541852554233	2.1999999999999997	2	4.0	0.9862613541774451	0.0	0.0	29	12	2.9	0.3	0.8999999999999999	54	G5 & G9 & ~G4	87	G6 | G7 | ~G1	203	G9 | (G8 & ~G6)	27	~G7 | (~G3 & ~G9)	209	G7 & (G10 | G6)	129	~G3 | (~G2 & ~G4)	212	G3 & G5 & G7	31	G7 | (G3 & G8)	32	G5 & (~G1 | ~G2)	37	G8 | ~G10	2.1999999999999997
0_4_0_1_4_0_1_0_4_0	0.5601686268359451	2.0999999999999996	3	2.6666666666666665	0.754818788652442	0.0	0.0	29	12	2.9	0.3	0.8999999999999999	56	G5 | (G7 & G8)	87	G6 | G7 | ~G1	201	G3 | (G6 & ~G1)	27	~G7 | (~G3 & ~G9)	204	G1 & G10 & G4	137	G4 & (G5 | ~G2)	210	~G7 & ~G8 & ~G9	29	~G5 & (G2 | G3)	18	G5 | (G1 & ~G8)	37	G8 | ~G10	2.0999999999999996
1_1_4_2_1_4_4_2_3_2	0.5603087056837763	2.5000000000000004	2	5.0	0.9476151142526115	0.0	0.0	29	9	2.9	0.3	0.8999999999999999	55	G5 & (~G3 | ~G4)	6	G9 | (G4 & ~G6)	205	~G4 | (~G2 & ~G5)	26	G1 | G4 | G5	201	G6 & (G10 | G3)	130	~G3 & (G2 | G4)	201	G2 & G6 & G8	31	G7 | (G3 & G8)	17	G10 & ~G8	39	G7 | G8 | ~G5	2.5000000000000004
0_3_4_2_2_4_0_2_3_4	0.5605437551497631	2.5000000000000004	2	5.0	0.954047718617704	0.0	0.0	29	9	2.9	0.3	0.8999999999999999	56	G5 | (G7 & G8)	86	G9 | (G1 & G5)	205	~G4 | (~G2 & ~G5)	26	G1 | G4 | G5	202	G10 & G9 & ~G2	130	~G3 & (G2 | G4)	209	G7 & G8 & ~G3	31	G7 | (G3 & G8)	17	G10 & ~G8	41	G6 | ~G2 | ~G5	2.5000000000000004
3_4_3_3_4_3_1_0_4_0	0.5606882350558355	2.1999999999999997	2	4.0	0.7603509751396865	0.0	0.0	29	14	2.9	0.3	0.8999999999999999	53	G10 & (G7 | ~G1)	87	G6 | G7 | ~G1	204	G3 | G6 | G8	25	~G7 | (~G1 & ~G3)	204	G1 & G10 & G4	129	~G3 | (~G2 & ~G4)	210	~G7 & ~G8 & ~G9	29	~G5 & (G2 | G3)	18	G5 | (G1 & ~G8)	37	G8 | ~G10	2.1999999999999997
